movie_name,trailer_video_id,likes,dislikes,views,sentiment_score
New Best Friend,DTLI7R1VPUQ,22078,2540,15693243,0.1410999999999999
Etoiles: Dancers of the Paris Opera Ballet,DTLI7R1VPUQ,22078,2540,15693243,0.1410999999999999
Ivans XTC,aWkj2d7m1Zw,65307,2795,12743374,0.11903727454909817
Interview with the Assassin,6glDSpWLOWg,9,0,10438,0
Bolivar Soy Yo,Ev4j7u_apVg,30,5,18425,0.0
How to Kill Your Neighbor's Dog,GrdbLZwUjl4,0,3,319,0
Agnivarsha - The Fire and the Rain,GrdbLZwUjl4,0,3,319,0
Lucky Break,o9b_O6ViYp8,28,1,21905,0.6771833333333334
Ciao America,-Ap62jsu85Q,8,0,2011,0.0
Nijinsky: The Diaries of...,ubUN05Tyqec,39,3,6258,0.0
Children of the Century,tV_IhWE4LP0,82376,2691,14221219,0.24475759999999971
Harvard Man,B5h2xRYmANk,1470,94,972819,0.17253846153846156
Ikiru (Re-issue),B5h2xRYmANk,1470,94,972819,0.17253846153846156
Chelsea Walls,sUkHBxP7fcE,,,21845,0
War Photographer,doV8xokcTuo,76,3,24825,0.0
No Such Thing,Z_dideF5qvk,13660,1047,5945074,0.12648619999999997
Just a Kiss,YlzIjzgjy0U,,,311294,0
Spooky House,J50vA5VLR6k,49969,2651,13751441,0.19971679999999972
Beijing Bicycle,wpHgZgFBfJ0,64,1,30734,0.12511818181818182
Girls Can't Swim,JdihoaOSzh8,16,0,16440,0
"Langrishe, Go Down",yD8rxA4XqqM,8,1,13896,0.6612
Tosca,uk2DeTet98o,5155,90,1860048,0.22655511982570778
Snipes,vXC8xThdRAo,4141,1153,2227262,0.03535311871227363
Warm Water Under a Red Bridge,jJDnbQf5qA0,51,6,32764,-0.275825
Umberto D (re-issue),jJDnbQf5qA0,51,6,32764,-0.275825
"God is Great, I'm Not",jJDnbQf5qA0,51,6,32764,-0.275825
Lagaan (re-issue),jJDnbQf5qA0,51,6,32764,-0.275825
The Earth Will Swallow You,jJDnbQf5qA0,51,6,32764,-0.275825
Baraka (re-issue),jJDnbQf5qA0,51,6,32764,-0.275825
Eye See You (a.k.a. D-TOX),TtKk3FGeqFg,76,13,137169,-0.021461111111111104
Invincible (2002),aXqWKPV7S_k,35,3,15630,0.4583
Borstal Boy,lKxqm4_DEAI,87,19,97237,0.2755722222222222
The Bank,82XwtyTU_1k,16158,970,11539251,0.1780679999999999
Mean Machine,NNXrZCPU5uc,149,27,460064,0
Escaflowne: The Movie,nkMZZJrAj-E,310,11,147446,0.2528836956521739
Biggie and Tupac,7-xRZW1-P5I,823,222,1145668,0.12817142857142858
Kehta Hai Dil Baar Baar,PFHXjUMwmgk,818,34,826315,-0.20888963133640562
Wasabi,l0BtQUa4EYI,139,5,114906,0.0
On Guard,W_mdF-hGMWA,1541,141,615825,0.08986818181818182
Shiri,yl00OswylRY,30261,2314,5530332,0.1337693999999999
Handcart,yl00OswylRY,30261,2314,5530332,0.1337693999999999
Sade,Th-5w26U8-w,667,113,1265879,0.20218488372093013
30 Years to Life,TQYsBMgoJdg,845,12,235018,0.37877333333333324
World Traveler,xVhxZSRWJIs,37,9,36662,0.2732
Big Bad Love,iJCIawL-v7Y,,,15010,0
The Weight of Water,XFYWazblaUA,105031,6132,19918686,0.2617861999999997
Hometown Legend,b60mbbxR7Sc,39,1,34784,0
The Producers (re-issue),b60mbbxR7Sc,39,1,34784,0
Secret Ballot,xpffq654gsI,68,1,29940,0.37706666666666666
Lan Yu,a5ozJ170dCk,30,21,62782,-0.012928571428571416
Home Movie,20DF6U1HcGQ,105442,6751,30675534,0.29158079999999975
The Komediant,20DF6U1HcGQ,105442,6751,30675534,0.29158079999999975
Rishtey,KwmPnUQ15bs,127,39,670809,0
Amy's Orgasm,quI-bUSbfjw,23,12,98940,-0.04500000000000001
Singin' in the Rain (Re-issue),quI-bUSbfjw,23,12,98940,-0.04500000000000001
Fidel,fqTw2dtVQzw,2109,115,804971,0.009268199999999994
O Fantasma,pdzfl7YCGiE,806,40,529186,0.04757037037037036
American Chai,qlVcdP3LoRY,312,31,359933,0.08996
Maryam,yuzXPzgBDvo,257,19,181957,0.09617058823529416
Naqoyqatsi,jl1RcfvEsiA,276,18,96870,0.18611578947368423
A Shot at Glory,97ax8T7RPMs,84,9,131083,0.07165
Stolen Summer,H2VhIp2q5tY,,,51209,0
The Cherry Orchard,2RTjnqNoupk,76,9,46924,0.24611111111111114
Road,hEJnMQG9ev8,92065,4991,27751298,0.2213297188755018
Time of Favor,QlSAiI3xMh4,78068,4855,15423606,0.16779419999999984
Beauty and the Beast (2002 re-issue),QlSAiI3xMh4,78068,4855,15423606,0.16779419999999984
Pauline & Paulette,QlSAiI3xMh4,78068,4855,15423606,0.16779419999999984
The Wizard of Oz (2002 re-issue),QlSAiI3xMh4,78068,4855,15423606,0.16779419999999984
